#	Trait	SNP rs	Context	Gene	Gene ID	Gene 2	Gene ID 2	Chromosome	Location	P-Value	Source	PubMed	Analysis ID	Study ID	Study Name	Population
1	Coronary Disease	7756185	intergenic	QKI	9444	C6orf118	168090	6	163610589	9.9800000E-006	dbGaP	0	3910	930	CHARGE (Cohorts for Heart and Aging Research in Genomic Epidemiology)	European
2	Anxiety	9830169	intergenic	PTMAP8	728873	IGSF11	152404	3	118440220	9.964e-006	dbGaP	0	2973	338	National Institute on Aging (NIA) SardiNIA Study	European
3	Coronary Artery Disease	4779623	intron	FAM189A1	23359	FAM189A1	23359	15	29383227	9.9610000E-006	dbGaP	0	3032	221	NHLBI Family Heart Study (FamHS)	European
4	Coronary Artery Disease	3765303	intron	EMID1	129080	EMID1	129080	22	29254785	9.7810000E-006	dbGaP	0	3032	221	NHLBI Family Heart Study (FamHS)	European
5	Coronary Artery Disease	2501968	missense	CENPQ	55166	CENPQ	55166	6	49492265	9.7570000E-006	dbGaP	0	3030	221	NHLBI Family Heart Study (FamHS)	European
6	Heart Failure	2144823	intergenic	FBXO33	254170	LRFN5	145581	14	39717760	9.7375088E-006	dbGaP	0	2884	226	STAMPEED: Cardiovascular Health Study (CHS)	European
7	Coronary Artery Disease	221877	intergenic	ST8SIA3	51046	ONECUT2	9480	18	57399314	9.6610000E-006	dbGaP	0	3030	221	NHLBI Family Heart Study (FamHS)	European
8	Coronary Disease	6117734	intergenic	BMP2	650	MIR8062	102465865	20	7272853	9.5210000E-006	dbGaP	0	3056	221	NHLBI Family Heart Study (FamHS)	European
9	Heart Failure	6008436	intergenic	LINC00898	400932	MIR3201	100422916	22	47883228	9.4095014E-006	dbGaP	0	2885	226	STAMPEED: Cardiovascular Health Study (CHS)	African American
10	Coronary Artery Disease	4376497	intron	DLC1	10395	DLC1	10395	8	13473131	9.3540000E-006	dbGaP	0	3030	221	NHLBI Family Heart Study (FamHS)	European
11	Heart Failure	2561805	intron	EGFLAM	133584	EGFLAM	133584	5	38450328	9.3442007E-006	dbGaP	0	2884	226	STAMPEED: Cardiovascular Health Study (CHS)	European
12	Coronary Disease	892367	intron	LRFN2	57497	LRFN2	57497	6	40401873	9.2910000E-006	dbGaP	0	3910	930	CHARGE (Cohorts for Heart and Aging Research in Genomic Epidemiology)	European
13	Heart Failure	2956597	intron	EGFLAM	133584	EGFLAM	133584	5	38440499	9.2528989E-006	dbGaP	0	2884	226	STAMPEED: Cardiovascular Health Study (CHS)	European
